Ticker,Company Name,Industry
A,Agilent Technologies,diagnostics & research
AA,Alcoa,aluminum
AAC,Ares Acquisition,shell companies
AACG,Ata Creativity Global,education & training services
AAIC,Arlington Asset Investment,reit-mortgage
AAL,American Airlines,airlines
AAMC,Altisource Asset Management,asset management
AAME,Atlantic American,insurance-life
AAN,The Aaron'S Company,specialty retail
AAOI,Applied Optoelectronics,semiconductors
AAON,"Aaon, Inc.",building products & equipment
AAP,Advance Auto Parts,specialty retail
AAPL,Apple,consumer electronics
AAQC,Accelerate Acquisition,shell companies
AAT,American Assets Trust,reit-diversified
AATC,Autoscope Technologies,scientific & technical instruments
AAU,Almaden Minerals,gold
AAWW,Atlas Air Worldwide Holdings,airports & air services
AB,Alliancebernstein,asset management
ABB,Abb Ltd.,electrical equipment & parts
ABBV,Abbvie,drug manufacturers-general
ABC,Amerisourcebergen,medical distribution
ABCB,Ameris Bancorp,banks-regional
ABCL,Abcellera Biologics,biotechnology
ABCM,Abcam Plc,biotechnology
ABEO,Abeona Therapeutics,biotechnology
ABEV,Ambev,beverages-brewers
ABG,Asbury Automotive Group,auto & truck dealerships
ABGI,Abg Acquisition I,shell companies
ABIO,Arca Biopharma,biotechnology
ABM,Abm Industries,specialty business services
ABMD,Abiomed,medical devices
ABNB,Airbnb,internet content & information
ABOS,Acumen Pharmaceuticals,biotechnology
ABR,Arbor Realty Trust,reit-mortgage
ABSI,Absci,biotechnology
ABST,Absolute Software,software-application
ABT,Abbott Laboratories,medical devices
ABTX,Allegiance Bancshares,banks-regional
ABUS,Arbutus Biopharma,biotechnology
ABVC,Abvc Biopharma,biotechnology
AC,Associated Capital Group,capital markets
ACA,Arcosa,infrastructure operations
ACAD,Acadia Pharmaceuticals,biotechnology
ACAH,Atlantic Coastal Acquisition,shell companies
ACB,Aurora Cannabis,drug manufacturers-specialty & generic
ACBA,Ace Global Business Acquisition,blank checks / spac
ACBI,Atlantic Capital Bancshares,banks-regional
ACC,American Campus Communities,reit-residential
ACCD,Accolade,health information services
ACCO,Acco Brands,business equipment & supplies
ACEL,Accel Entertainment,gambling
ACER,Acer Therapeutics,biotechnology
ACET,Adicet Bio,biotechnology
ACEV,Ace Convergence Acquisition,shell companies
ACGL,Arch Capital Group,insurance-diversified
ACH,Aluminum Corporation Of China,aluminum
ACHC,Acadia Healthcare Company,medical care facilities
ACHL,Achilles Therapeutics,biotechnology
ACHV,Achieve Life Sciences,biotechnology
ACI,Albertsons Companies,grocery stores
ACIC,Atlas Crest Investment,shell companies
ACII,Atlas Crest Investment Ii,none
ACIU,Ac Immune,biotechnology
ACIW,Aci Worldwide,software-infrastructure
ACKIT,Ackrell Spac Partners I,shell companies
ACLS,Axcelis Technologies,semiconductor equipment & materials
ACM,Aecom,engineering & construction
ACMR,Acm Research,semiconductor equipment & materials
ACN,Accenture,information technology services
ACNB,Acnb Corporation,banks-regional
ACOR,Acorda Therapeutics,biotechnology
ACQR,Independence Holdings,shell companies
ACR,Acres Commercial Realty,reit-mortgage
ACRE,Ares Commercial Real Estate,reit-mortgage
ACRS,Aclaris Therapeutics,biotechnology
ACRX,Acelrx Pharmaceuticals,drug manufacturers-specialty & generic
ACST,Acasti Pharma,biotechnology
ACTD,Arclight Clean Transition Ii,shell companies
ACTG,Acacia Research,specialty business services
ACU,Acme United,household & personal products
ACVA,Acv Auctions,software-application
ACXP,Acurx Pharmaceuticals,pharmaceutical preparations
ACY,Aerocentury,rental & leasing services
ADAG,Adagene,biotechnology
ADAP,Adaptimmune Therapeutics,biotechnology
ADBE,Adobe,software-infrastructure
ADC,Agree Realty,reit-retail
ADCT,Adc Therapeutics Sa,biotechnology
